央视频道,#genre#
CCTV11,http://61.157.139.15:9901/tsfile/live/2381_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://36.44.159.1:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://36.44.157.244:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://202.100.46.58:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://36.44.159.1:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://125.71.73.93:9901/tsfile/live/faacts/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://112.194.206.58:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://61.157.139.15:9901/tsfile/live/2382_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://123.138.216.44:9902/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://36.44.157.244:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://202.100.46.58:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://202.100.46.58:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://36.44.157.244:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://125.71.73.93:9901/tsfile/live/faacts/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://112.194.206.58:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://61.157.139.15:9901/tsfile/live/2383_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://36.44.159.1:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://125.71.73.93:9901/tsfile/live/faacts/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://112.194.206.58:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://61.157.139.15:9901/tsfile/live/2384_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://123.138.216.44:9902/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://36.44.157.244:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://202.100.46.58:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://125.71.73.93:9901/tsfile/live/faacts/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://112.194.206.58:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://36.44.159.1:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://123.138.216.44:9902/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://36.44.157.244:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://202.100.46.58:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://36.44.159.136:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://61.157.139.15:9901/tsfile/live/2386_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://36.44.159.1:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://36.44.157.244:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTVNEWS,http://61.157.139.15:9901/tsfile/live/2387_1.m3u8?key=txiptv&playlive=1&authid=0
卫视频道,#genre#
SCTV康巴卫视,http://112.194.206.58:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=0&authid=0
上海卫视,http://125.71.73.93:9901/tsfile/live/faacts/0107_2.m3u8?key=txiptv&playlive=0&authid=0
上海卫视,http://112.194.206.58:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=0&authid=0
上海卫视,http://123.138.216.44:9902/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://125.71.73.93:9901/tsfile/live/faacts/0137_2.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://61.157.139.15:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://123.138.216.44:9902/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://202.100.46.58:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://202.100.46.58:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://36.44.159.136:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://36.44.159.1:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://61.157.139.15:9901/tsfile/live/2389_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://36.44.157.244:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://202.100.46.58:9901/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://125.71.73.93:9901/tsfile/live/faacts/0122_2.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://112.194.206.58:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://61.157.139.15:9901/tsfile/live/2388_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://36.44.159.1:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://123.138.216.44:9902/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://36.44.157.244:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
厦门卫视,http://202.100.46.58:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://125.71.73.93:9901/tsfile/live/faacts/0116_1.m3u8?key=txiptv&playlive=0&authid=0
吉林卫视,http://123.138.216.44:9902/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://202.100.46.58:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://125.71.73.93:9901/tsfile/live/faacts/0123_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://112.194.206.58:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://61.157.139.15:9901/tsfile/live/2393_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://123.138.216.44:9902/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://202.100.46.58:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://202.100.46.58:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://112.194.206.58:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=0&authid=0
宁夏卫视,http://61.157.139.15:9901/tsfile/live/2403_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://125.71.73.93:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://36.44.159.1:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://125.71.73.93:9901/tsfile/live/faacts/0130_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://61.157.139.15:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://123.138.216.44:9902/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://36.44.157.244:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://202.100.46.58:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://125.71.73.93:9901/tsfile/live/faacts/0131_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://112.194.206.58:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://36.44.159.136:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://36.44.157.244:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://202.100.46.58:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://61.157.139.15:9901/tsfile/live/2397_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://125.71.73.93:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://202.100.46.58:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://36.44.157.244:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://125.71.73.93:9901/tsfile/live/faacts/0125_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://36.44.159.1:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://61.157.139.15:9901/tsfile/live/2395_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://36.44.159.136:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://123.138.216.44:9902/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://125.71.73.93:9901/tsfile/live/faacts/0113_1.m3u8?key=txiptv&playlive=0&authid=0
康巴卫视,http://61.157.139.15:9901/tsfile/live/2415_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://112.194.206.58:9901/tsfile/live/1038_1.m3u8?key=txiptv&playlive=0&authid=0
新疆卫视,http://125.71.73.93:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=0&authid=0
旅游卫视,http://125.71.73.93:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://36.44.159.1:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://125.71.73.93:9901/tsfile/live/faacts/0127_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://112.194.206.58:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://61.157.139.15:9901/tsfile/live/2392_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://123.138.216.44:9902/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://202.100.46.58:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://202.100.46.58:9901/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://123.138.216.44:9902/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://61.157.139.15:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://125.71.73.93:9901/tsfile/live/faacts/0139_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://112.194.206.58:9901/tsfile/live/1033_1.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://61.157.139.15:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://202.100.46.58:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://125.71.73.93:9901/tsfile/live/faacts/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://112.194.206.58:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://61.157.139.15:9901/tsfile/live/2390_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://36.44.157.244:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://202.100.46.58:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://112.194.206.58:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
海南卫视,http://61.157.139.15:9901/tsfile/live/2404_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://36.44.159.136:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://112.194.206.58:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://125.71.73.93:9901/tsfile/live/faacts/0126_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://36.44.157.244:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://202.100.46.58:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://202.100.46.58:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://61.157.139.15:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://36.44.159.1:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://36.44.157.244:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://36.44.159.1:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://125.71.73.93:9901/tsfile/live/faacts/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://112.194.206.58:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://123.138.216.44:9902/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://36.44.157.244:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://125.71.73.93:9901/tsfile/live/faacts/0141_1.m3u8?key=txiptv&playlive=0&authid=0
甘肃卫视,http://112.194.206.58:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=0&authid=0
甘肃卫视,http://202.100.46.58:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://112.194.206.58:9901/tsfile/live/1041_1.m3u8?key=txiptv&playlive=0&authid=0
西藏卫视,http://125.71.73.93:9901/tsfile/live/0111_1.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://125.71.73.93:9901/tsfile/live/faacts/0120_2.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://61.157.139.15:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://202.100.46.58:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://202.100.46.58:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://61.157.139.15:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://125.71.73.93:9901/tsfile/live/faacts/0142_2.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://123.138.216.44:9902/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://202.100.46.58:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://61.157.139.15:9901/tsfile/live/2407_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://125.71.73.93:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=0&authid=0
陕西卫视,http://123.138.216.44:9902/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://202.100.46.58:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://112.194.206.58:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=0&authid=0
青海卫视,http://123.138.216.44:9902/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://202.100.46.58:9901/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://125.71.73.93:9901/tsfile/live/faacts/0143_1.m3u8?key=txiptv&playlive=0&authid=0
黑龙江卫视,http://61.157.139.15:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
其他频道,#genre#
SCTV3,http://61.157.139.15:9901/tsfile/live/2417_1.m3u8?key=txiptv&playlive=1&authid=0
SCTV4,http://61.157.139.15:9901/tsfile/live/2411_1.m3u8?key=txiptv&playlive=1&authid=0
SCTV5,http://61.157.139.15:9901/tsfile/live/2412_1.m3u8?key=txiptv&playlive=1&authid=0
SCTV6,http://61.157.139.15:9901/tsfile/live/2413_1.m3u8?key=txiptv&playlive=1&authid=0
SCTV7,http://61.157.139.15:9901/tsfile/live/2414_1.m3u8?key=txiptv&playlive=1&authid=0
SCTV公共乡村,http://112.194.206.58:9901/tsfile/live/1047_1.m3u8?key=txiptv&playlive=0&authid=0
SCTV国际,http://112.194.206.58:9901/tsfile/live/1049_1.m3u8?key=txiptv&playlive=0&authid=0
SCTV妇女儿童,http://112.194.206.58:9901/tsfile/live/1045_1.m3u8?key=txiptv&playlive=0&authid=0
SCTV影视文艺,http://112.194.206.58:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
SCTV新闻,http://112.194.206.58:9901/tsfile/live/1044_1.m3u8?key=txiptv&playlive=0&authid=0
SCTV科教,http://112.194.206.58:9901/tsfile/live/1046_1.m3u8?key=txiptv&playlive=0&authid=0
东奥纪实,http://123.138.216.44:9902/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
中心医院,http://111.9.163.109:8080/live/test.m3u8
卡酷动画,http://112.194.206.58:9901/tsfile/live/1043_1.m3u8?key=txiptv&playlive=0&authid=0
卡酷少儿,http://61.157.139.15:9901/tsfile/live/2418_1.m3u8?key=txiptv&playlive=1&authid=0
峨眉电影,http://61.157.139.15:9901/tsfile/live/2396_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://112.194.206.58:9901/tsfile/live/1039_1.m3u8?key=txiptv&playlive=0&authid=0
金鹰卡通,http://112.194.206.58:9901/tsfile/live/1042_1.m3u8?key=txiptv&playlive=0&authid=0
金鹰卡通,http://61.157.139.15:9901/tsfile/live/2419_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://125.71.73.93:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
